Timestamp,absolute_error
2024-06-01 00:00:00+00:00,0.01611412
2024-07-01 00:00:00+00:00,0.02074592
2024-08-01 00:00:00+00:00,0.025580576
2024-09-01 00:00:00+00:00,0.017247897
2024-10-01 00:00:00+00:00,0.015747175
2024-11-01 00:00:00+00:00,0.020896042
2024-12-01 00:00:00+00:00,0.019081062
2025-01-01 00:00:00+00:00,0.01949724
2025-02-01 00:00:00+00:00,0.018384792
2025-03-01 00:00:00+00:00,0.023781382
2025-04-01 00:00:00+00:00,0.018970337
2025-05-01 00:00:00+00:00,0.013226394
2025-06-01 00:00:00+00:00,0.012328662
2025-07-01 00:00:00+00:00,0.012395484
2025-08-01 00:00:00+00:00,0.013182709
2025-09-01 00:00:00+00:00,0.011433073
2025-10-01 00:00:00+00:00,0.016577447
2025-11-01 00:00:00+00:00,0.020666324
2025-12-01 00:00:00+00:00,0.014670259
2026-01-01 00:00:00+00:00,0.016712282
2026-02-01 00:00:00+00:00,0.026064249
2026-03-01 00:00:00+00:00,0.020503115
2026-04-01 00:00:00+00:00,0.015566469
2026-05-01 00:00:00+00:00,0.01163487
2026-06-01 00:00:00+00:00,0.01762522
2026-07-01 00:00:00+00:00,0.01340079
2026-08-01 00:00:00+00:00,0.014523174
