protocol,run,split,mae,rmse,r2,direction_accuracy
random,1,train,0.022479070350527763,0.03342262634413235,0.3634428381919861,0.577853708485442
random,1,validation,0.023364856839179993,0.036351748830021374,0.21711128950119019,0.5645873370383836
random,1,test,0.023527974262833595,0.03673092109016645,0.19779956340789795,0.5608704684740833
random,2,train,0.02234288491308689,0.033296525590984075,0.36838871240615845,0.5842422758436471
random,2,validation,0.023711586371064186,0.03646137694585861,0.2244449257850647,0.5562250038954968
random,2,test,0.023450735956430435,0.03642798211298438,0.197529137134552,0.5635712059831723
random,3,train,0.02242068573832512,0.03346353852022159,0.3677929639816284,0.5836078710711424
random,3,validation,0.023505667224526405,0.03578827399907243,0.17873018980026245,0.5591855814678232
random,3,test,0.023203806951642036,0.036015864185792654,0.25166064500808716,0.5633634569440117
random,4,train,0.02228851430118084,0.03315989751801362,0.34012162685394287,0.5827508681328466
random,4,validation,0.02370140142738819,0.03736144337019884,0.2569217085838318,0.5667168752921623
random,4,test,0.02362547628581524,0.037745915737579135,0.25190407037734985,0.5644541393996053
random,5,train,0.02233310416340828,0.03333286749028739,0.3621860146522522,0.5869023239248509
random,5,validation,0.023271897807717323,0.03565751290059463,0.23429644107818604,0.5595491611696879
random,5,test,0.023637346923351288,0.0367771242041981,0.23544448614120483,0.563467331463592
chronological,1,train,0.021205386146903038,0.03109494967907875,0.7886767387390137,0.7212943057163331
chronological,1,validation,0.035972852259874344,0.05410284633008356,-0.29995954036712646,0.5074859638178415
chronological,1,test,0.02178608439862728,0.03499761028572047,-0.24823081493377686,0.5303851907255048
chronological,2,train,0.021876459941267967,0.03260154998853559,0.6429460644721985,0.6592610945931064
chronological,2,validation,0.015175977721810341,0.02415969420309633,-0.055420756340026855,0.5206547155105222
chronological,2,test,0.031832918524742126,0.04628636396565938,-0.05566680431365967,0.5132292445774121
chronological,3,train,0.023581378161907196,0.03532482500746687,0.5266269445419312,0.6358082448125929
chronological,3,validation,0.023612672463059425,0.03563237472849471,-0.09897494316101074,0.49096009975062344
chronological,3,test,0.02956320159137249,0.044035367616393026,-0.13274061679840088,0.5093492894540015
chronological,4,train,0.02391582354903221,0.03590689734812451,0.4551798105239868,0.6164534323840969
chronological,4,validation,0.02856040559709072,0.04024860601452833,-0.05785548686981201,0.4989480246240162
chronological,4,test,0.02115452289581299,0.030582886433457197,-0.07790756225585938,0.4843399401645475
chronological,5,train,0.024579528719186783,0.0364854222730388,0.38997507095336914,0.6035829830314502
chronological,5,validation,0.01898043043911457,0.02811984211097768,-0.05566561222076416,0.49173991646406084
chronological,5,test,0.01763732358813286,0.02417523152377722,-0.031767964363098145,0.49593305908750934
